Sentence,Label
No appreciable activity of auto- and transMODIFICATION was observed in an unphosphorylated [E]PROTEIN[/E],0
Rbx1 promotes association of Cdc34 with Cdc53 and stimulates Cdc34 autoMODIFICATION in the context of Cdc53 or [E]PROTEIN[/E] complexes,0
Rbx1 promotes association of Cdc34 with Cdc53 and stimulates Cdc34 autoMODIFICATION in the context of [E]PROTEIN[/E] or SCF complexes,0
[E]PROTEIN[/E] promotes association of Cdc34 with Cdc53 and stimulates Cdc34 autoMODIFICATION in the context of Cdc53 or SCF complexes,0
Rbx1 promotes association of Cdc34 with [E]PROTEIN[/E] and stimulates Cdc34 autoMODIFICATION in the context of Cdc53 or SCF complexes,0
Rbx1 promotes association of [E]PROTEIN[/E] with Cdc53 and stimulates Cdc34 autoMODIFICATION in the context of Cdc53 or SCF complexes,0
[E]PROTEIN[/E] also mediates its own degradation through autoMODIFICATION,0
"Reconstituting TRAF6-deficent cells with various TRAF6 mutants, we clearly demonstrate the requirement for the TRAF6 RING domain and site-specific autoMODIFICATION of TRAF6 to activate [E]PROTEIN[/E] in response to interleukin-1",0
Here we show that an intact [E]PROTEIN[/E] domain of TRAF6 in conjunction with the TRANSFERASE enzyme Ubc13/Uev1A is necessary for Lys-63-linked autoMODIFICATION of TRAF6 and for its ability to activate IKK and NF-kappaB,0
Here we show that an intact RING domain of TRAF6 in conjunction with the TRANSFERASE enzyme Ubc13/Uev1A is necessary for Lys-63-linked autoMODIFICATION of TRAF6 and for its ability to activate [E]PROTEIN[/E] and NF-kappaB,0
Here we show that an intact RING domain of TRAF6 in conjunction with the TRANSFERASE enzyme Ubc13/Uev1A is necessary for Lys-63-linked autoMODIFICATION of TRAF6 and for its ability to activate IKK and [E]PROTEIN[/E],0
"Notably, we map the autoMODIFICATION site of TRAF6 to a single [E]PROTEIN[/E], which if mutated renders TRAF6 unable to activate transforming growth factor-beta-activated kinase 1 and IKK and to cause spontaneous osteoclast differentiation",0
"Notably, we map the autoMODIFICATION site of TRAF6 to a single Lys residue, which if mutated renders TRAF6 unable to activate transforming growth factor-beta-activated kinase 1 and [E]PROTEIN[/E] and to cause spontaneous osteoclast differentiation",0
"Notably, we map the autoMODIFICATION site of TRAF6 to a single Lys residue, which if mutated renders TRAF6 unable to activate transforming [E]PROTEIN[/E] and IKK and to cause spontaneous osteoclast differentiation",0
"Reconstituting TRAF6-deficent cells with various TRAF6 mutants, we clearly demonstrate the requirement for the TRAF6 RING domain and site-specific autoMODIFICATION of TRAF6 to activate IKK in response to [E]PROTEIN[/E]",0
These data establish a signaling cascade in which regulated site-specific Lys-63-linked TRAF6 autoMODIFICATION is the critical upstream mediator of [E]PROTEIN[/E].,0
Here we show that an intact RING domain of TRAF6 in conjunction with the TRANSFERASE enzyme [E]PROTEIN[/E] is necessary for Lys-63-linked autoMODIFICATION of TRAF6 and for its ability to activate IKK and NF-kappaB,0
Site-specific Lys-63-linked tumor necrosis factor receptor-associated factor 6 autoMODIFICATION is a critical determinant of [E]PROTEIN[/E] activation,0
"Reconstituting TRAF6-deficent cells with various TRAF6 mutants, we clearly demonstrate the requirement for the [E]PROTEIN[/E] autoMODIFICATION of TRAF6 to activate IKK in response to interleukin-1",0
"Notably, we map the autoMODIFICATION site of TRAF6 to a single Lys residue, which if mutated renders [E]PROTEIN[/E] unable to activate transforming growth factor-beta-activated kinase 1 and IKK and to cause spontaneous osteoclast differentiation",0
Here we show that an intact RING domain of [E]PROTEIN[/E] in conjunction with the TRANSFERASE enzyme Ubc13/Uev1A is necessary for Lys-63-linked autoMODIFICATION of TRAF6 and for its ability to activate IKK and NF-kappaB,0
We infer a sequential process initiated by [PTM]autophosphorylation[/PTM] of EGFR at a previously identified [E]PROTEIN[/E] that subsequently recruits Cbl,0
We infer a sequential process initiated by [PTM]autophosphorylation[/PTM] of [E]PROTEIN[/E] at a previously identified lysosome-targeting motif that subsequently recruits Cbl,0
We infer a sequential process initiated by [PTM]autophosphorylation[/PTM] of EGFR at a previously identified lysosome-targeting motif that subsequently recruits [E]PROTEIN[/E],0
"Importantly, this mode of degradation does not require the [E]PROTEIN[/E]-mediated autoMODIFYING activity of DIAP1, believed to target many RING-finger E3s for self-destruction",0
"We found here that a phosphorylated IkappaBalpha immunoprecipitated (IP-pIkappaBalpha) from the crude extract of HeLa cells which had been treated with tumor necrosis factor-alpha (TNFalpha) caused a dramatic MODIFICATION of itself, termed autoMODIFICATION, when incubated with [E]PROTEIN[/E], GROUP, and E1-activating and TRANSFERASE-conjugating enzymes",0
"We found here that a phosphorylated IkappaBalpha immunoprecipitated (IP-pIkappaBalpha) from the crude extract of HeLa cells which had been treated with tumor necrosis factor-alpha (TNFalpha) caused a dramatic MODIFICATION of itself, termed autoMODIFICATION, when incubated with ATP, [E]PROTEIN[/E], and E1-activating and TRANSFERASE-conjugating enzymes",0
"We found here that a phosphorylated IkappaBalpha immunoprecipitated (IP-pIkappaBalpha) from the crude extract of HeLa cells which had been treated with tumor necrosis factor-alpha (TNFalpha) caused a dramatic MODIFICATION of itself, termed autoMODIFICATION, when incubated with ATP, GROUP, and [E]PROTEIN[/E]",0
"Wild-type ARA54 and RNF8, expressed in insect Sf9 cells, catalyzed [E]PROTEIN[/E]-dependent autoMODIFICATION in vitro, whereas the point mutated proteins showed markedly reduced activity",0
These results suggest that autoMODIFICATION and subsequent degradation of E6-AP represents a mechanism to control intracellular E6-AP levels by inactivating [E]PROTEIN[/E] molecules that are not bound to substrate proteins.,0
These results suggest that autoMODIFICATION and subsequent degradation of E6-AP represents a mechanism to control intracellular [E]PROTEIN[/E] levels by inactivating E6-AP molecules that are not bound to substrate proteins.,0
